タイトル,フリガナ,著者,カテゴリ,タイプ,読了巻/P,全巻/P,ステータス,形態,評価,読了日,メモ,完結済み,次巻発売日,発売日
アイアンファミリア,あいあんふぁみりあ,,manga,series,0,4,reading,,,,,false,,
愛と誠［梶原一騎］全10巻,あいとまこと,,manga,series,0,10,reading,,,,,false,,
アカギ ～闇に降り立った天才～ 01-36 [福本伸行],あかぎ やみにおりたったてんさい,,manga,series,0,36,reading,,,,,false,,
アカギ 闇に降り立った天才 [福本伸行],あかぎ やみにおりたったてんさい2,,manga,series,0,36,reading,,,,,false,,
惡の華,あくのはな,,manga,series,0,11,reading,,,,,false,,
あした天気になあれ [ちばてつや] 01-58e,あしたてんきになあれ,,manga,series,0,58,reading,,,,,false,,
あしたのジョー［ちばてつや］全20巻,あしたのじょー,,manga,series,0,20,reading,,,,,false,,
あずみ ［小山ゆう］全48巻,あずみ,,manga,series,0,48,reading,,,,,false,,
あそこではたらくムスブさん [モリタイシ] 全7巻,あそこではたらくむすぶさん,,manga,series,0,7,reading,,,,,false,,
甘やかな地獄 [真宮りんご],あまやかなじごく,,manga,series,0,4,reading,,,,,false,,
アルキメデスの大戦 [三田紀房],あるきめですのたいせん,,manga,series,0,18,reading,,,,,false,,
イーグル［かわぐちかいじ］全11巻,いーぐる,,manga,series,0,11,reading,,,,,false,,
イクサガミ,いくさがみ,,manga,series,0,4,reading,,,,,false,,
行け！稲中卓球部［古谷実］全13巻,いけ いなちゅうたっきゅうぶ,,manga,series,0,13,reading,,,,,false,,
生贄投票,いけにえとうひょう,,manga,series,0,7,reading,,,,,false,,
今際の国のアリス [麻生羽呂],いまわのくにのありす,,manga,series,0,18,reading,,,,,false,,
イリオス,いりおす,,manga,series,0,11,reading,,,,,false,,
インベスターZ[三田紀房] 全21巻,いんべすたーぜっと,,manga,series,0,21,reading,,,,,false,,
鶯谷デッドゾーン[井深みつ×三日閉両],うぐいすだにでっどぞーん,,manga,series,0,11,reading,,,,,false,,
宇宙兄弟［小山宙哉］,うちゅうきょうだい,,manga,series,0,45,reading,,,,,false,,
宇宙兄弟 オールカラー版,うちゅうきょうだい おーるからーばん,,manga,series,0,2,reading,,,,,false,,
演じ屋 ～逆転のシナリオお売りします～,えんじや ぎゃくてんのしなりおおうりします,,manga,series,0,2,reading,,,,,false,,
エンゼルバンク-ドラゴン桜外伝- [三田紀房] 全14巻(完),えんぜるばんく どらごんざくらがいでん,,manga,series,0,14,reading,,,,,false,,
おーい！竜馬 [小山ゆう×武田鉄矢],おーい りょうま,,manga,series,0,23,reading,,,,,false,,
推しの子 [赤坂アカ×横槍メンゴ],おしのこ,,manga,series,0,10,reading,,,,,false,,
おせん [きくち正太],おせん,,manga,series,0,16,reading,,,,,false,,
俺の空［本宮ひろ志］全9巻,おれのそら,,manga,series,0,9,reading,,,,,false,,
女の園の星[和山やま],おんなのそののほし,,manga,series,0,3,reading,,,,,false,,
会長 島耕作,かいちょう しまこうさく,,manga,series,0,11,reading,,,,,false,,
岳［石塚真一］,がく,,manga,series,0,18,reading,,,,,false,,
仇討ち娼婦 ～家族惨殺から始まる血の報復～,かたきうちしょうふ かぞくざんさつからはじまるちのほうふく,,manga,series,0,8,reading,,,,,false,,
神アプリ［栗原正尚］,かみあぷり,,manga,series,0,27,reading,,,,,false,,
神アプリ クリミナルハンター,かみあぷり くりみなるはんたー,,manga,series,0,2,reading,,,,,false,,
神アプリ TLG［栗原正尚］,かみあぷり てぃーえるじー,,manga,series,0,3,reading,,,,,false,,
神の雫 [オキモトシュウ×亜樹直] 全44巻,かみのしずく,,manga,series,0,7,reading,,,,,false,,
神の雫 最終章,かみのしずく さいしゅうしょう,,manga,series,0,5,reading,,,,,false,,
カンナビス [佐伊村司],かんなびす,,manga,series,0,4,reading,,,,,false,,
がんばれ元気 全12巻,がんばれげんき,,manga,series,0,12,reading,,,,,false,,
きのう何食べた？[よしながふみ],きのうなにたべた,,manga,series,0,11,reading,,,,,false,,
ギフト±,ぎふと,,manga,series,0,17,reading,,,,,false,,
鬼滅の刃,きめつのやいば,,manga,series,0,23,reading,,,,,false,,
虐殺ハッピーエンド,ぎゃくさつはっぴーえんど,,manga,series,0,8,reading,,,,,false,,
虐殺ハッピーエンド～蒼の章～,ぎゃくさつはっぴーえんど そうのしょう,,manga,series,0,4,reading,,,,,false,,
今日からヒットマン［むとうひろし］,きょうからひっとまん,,manga,series,0,18,reading,,,,,false,,
今日もカレーですか？ [藤川よつ葉×あづま笙子],きょうもかれーですか,,manga,series,0,6,reading,,,,,false,,
銀河鉄道999［松本零士］全12巻,ぎんがてつどうきゅうきゅうきゅう,,manga,series,0,12,reading,,,,,false,,
キングダム［原泰久］,きんぐだむ,,manga,series,0,81,reading,,,,,false,,
銀行渉外担当 竹中治夫 大阪編 第01-02巻,ぎんこうしょうがいたんとう たけなかはるお おおさかへん,,manga,series,0,2,reading,,,,,false,,
銀と金 [福本伸行],ぎんとかね,,manga,series,0,11,reading,,,,,false,,
キン肉マン［ゆでたまご］,きんにくまん,,manga,series,0,56,reading,,,,,false,,
キン肉マンII世,きんにくまんにせい,,manga,series,0,29,reading,,,,,false,,
